Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603",-43.250000,-2.250000,180.000000,top
"C2","100n","C_0603",-27.250000,-71.500000,180.000000,top
"C3","150n","C_1808",-25.500000,-95.250000,90.000000,top
"C4","10µ","C_0805",-5.000000,-74.750000,90.000000,top
"C5","18p","C_0603",-27.250000,-73.000000,0.000000,top
"C6","18p","C_0603",-36.000000,-73.750000,90.000000,top
"C7","100n","C_0603",-27.250000,-70.250000,180.000000,top
"C8","2.2µ","C_0603",-81.750000,-40.750000,90.000000,top
"C9","100n","C_0603",-15.250000,-63.750000,180.000000,top
"C10","100n","C_0603",-29.000000,-78.000000,270.000000,top
"C11","18p","C_0603",-13.000000,-77.750000,0.000000,top
"C12","100n","C_0603",-29.250000,-40.000000,90.000000,top
"C13","100n","C_0603",-29.250000,-23.500000,90.000000,top
"C14","10µ","C_0805",-30.000000,-68.000000,90.000000,top
"C15","100n","C_0603",-4.250000,-79.000000,270.000000,top
"C16","100n","C_0603",-41.000000,-21.500000,0.000000,top
"C17","100n","C_0603",-5.250000,-3.750000,270.000000,top
"C18","2.2µ","C_0603",-77.500000,-40.750000,90.000000,top
"C19","100n","C_0603",-34.500000,-58.500000,270.000000,top
"C20","18p","C_0603",-22.500000,-81.500000,270.000000,top
"C23","18p","C_0603",-23.750000,-81.500000,270.000000,top
"C24","18p","C_0603",-32.750000,-36.500000,90.000000,top
"C25","18p","C_0603",-32.750000,-20.000000,90.000000,top
"C26","18p","C_0603",-34.500000,-46.250000,180.000000,top
"C27","18p","C_0603",-34.500000,-29.750000,180.000000,top
"C28","150n","C_1808",-48.000000,-87.000000,90.000000,top
"C29","100n","C_0603",-65.500000,-32.750000,0.000000,top
"C30","100n","C_0603",-23.500000,-58.250000,90.000000,top
"C31","18p","C_0603",-70.250000,-27.250000,0.000000,top
"C32","18p","C_0603",-67.500000,-30.500000,90.000000,top
"C33","18p","C_0603",-21.250000,-81.500000,270.000000,top
"C34","150n","C_1808",-51.000000,-87.000000,90.000000,top
"C35","10µ","C_0805",-6.750000,-74.750000,90.000000,top
"C36","100n","C_0603",-36.250000,-20.000000,270.000000,top
"C37","100n","C_0603",-36.250000,-36.500000,270.000000,top
"C38","150n","C_1808",-57.000000,-87.000000,90.000000,top
"C39","18p","C_0603",-13.000000,-79.000000,0.000000,top
"C40","100n","C_0603",-77.250000,-91.000000,0.000000,top
"C41","100n","C_0603",-19.250000,-92.500000,0.000000,top
"C42","2.2µ","C_0603",-68.750000,-68.000000,270.000000,top
"C43","2.2µ","C_0603",-63.750000,-68.000000,270.000000,top
"C44","2.2µ","C_0603",-58.750000,-68.000000,270.000000,top
"C45","18p","C_0603",-20.000000,-81.500000,270.000000,top
