"#","B","O","M"
"Item","Qty","Reference(s)","Value","Footprint","Manufacturer","Manufacturer No","Source","Tolerance","Voltage"
"1","75","C1, C2, C7, C9, C10, C12, C13, C15, C16, C17, C19, C29, C30, C36, C37, C40, C41, C53, C54, C55, C56, C58, C60, C61, C63, C66, C67, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C82, C83, C84, C85, C86, C87, C89, C91, C94, C95, C96, C98, C99, C100, C103, C104, C105, C106, C107, C108, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C125, C126, C127, C128, C130, C138, C147","100n","C_0603","Samsung","CL10B104MA8NNNC","","X7R","50V"
"2","6","C3, C28, C34, C38, C92, C93","150n","C_1808","Samsung","C1808W154KCRACTU","","X7R","500V"
"3","16","C4, C14, C35, C51, C68, C69, C70, C97, C109, C110, C111, C123, C124, C131, C132, C145","10µ","C_0805","Samsung","CL31B106KAHNNNE","","X7R","25V"
"4","15","C5, C6, C11, C20, C23, C24, C25, C26, C27, C31, C32, C33, C39, C45, C57","18p","C_0603","Samsung","CL10C180JB8NNNC","","X7R","50V"
"5","23","C8, C18, C42, C43, C44, C50, C62, C65, C88, C90, C101, C102, C129, C133, C134, C135, C136, C137, C139, C140, C141, C142, C144","2.2µ","C_0603","Samsung","CL10A225KL8NNNC","","X7R","25V"
"6","2","C21, C22","270µ","C_Radial_D26_L45_P10","United Chemi-Con","ESMR401VSN271MQ30S","","","400V"
"7","8","C46, C47, C48, C49, C52, C59, C64, C81","1n","C_0603","Samsung","CL10C102JB8NNNC","","X7R","50V"
"8","1","C143","22µ","C_Radial_D6.5_L11_P2.5","Panasonic","ECA-1HM220I","","","50V"
"9","1","D1","red","LED-0805-SIDE","Lite-On","LTST-S220KRKT","","",""
"10","6","D2, D3, D5, D7, D10, D11","ES1J R2","SMA_Standard","Micro Commercial Co","ES1J-LTP","","",""
"11","7","D4, D14, D15, D18, D19, D20, D24","green","LED-0805-SIDE","Lite-On","LTST-S220KGKT","","",""
"12","4","D6, D9, D12, D13","SS34A","SMA_Standard","Multicomp","SS34A","","",""
"13","1","D8","green","LED-0805-SIDE","Lite-On","LTST-S220KGKT","","",""
"14","1","D16","red","LED-0805-SIDE","Lite-On","LTST-S220KRKT","","",""
"15","1","D17","yellow","LED-0805-SIDE","Lite-On","LTST-S220KSKT","","",""
"16","1","D22","SMAJ24A TVS 24V","SMA_Standard","SMC Diode Solutions","SMAJ24A-TR","","",""
"17","3","J1, J2, J3","RJ45_LED","RJ45_LED","METZ CONNECT","AJT34L8813-011","https://de.aliexpress.com/item/Free-shipping-50pcs-lot-RJ45-connector-RJ45-socket-with-indicators-Ethernet/539701403.html","",""
"18","3","JP1, JP4, JP9","Jumper_NO_Small","SOLDER_JUMPER","","","","",""
"19","4","JP2, JP3, JP5, JP6","JUMPER3_NC","SOLDER_JUMPER_3_NC","","","","",""
"20","7","L1, L3, L7, L8, L9, L10, L11","220r 700mA","R_0603","Murata","BLM18AG221SN1","https://de.aliexpress.com/item/500-PCS-LOT-patch-magnetic-bead-FB-BLM18AG221SN1-0603-220-r-0-5-A-magnetic-beads/32675343247.html","",""
"21","1","L2","1m 250mA","NPI31W","Coilcraft","DT3316P-105","","",""
"22","2","L4, L6","10µH 1A","SMD_INDUCTOR_32x25","Murata","LQH32PN100MNCL","","",""
"23","2","L5, L12","4.7µH 1.5A","SMD_INDUCTOR_32x25","Murata","LQH32PN4R7NNC","","",""
"24","1","LOGO1","OPEN_HARDWARE_1","Symbol_OSHW-Logo_SilkScreen","","","","",""
"25","2","P1, P11","USB_OTG","USB_Micro-B","Molex","105017-0001","https://de.aliexpress.com/item/Wholesale-100Pcs-lot-5-Pins-Micro-USB-SMD-Female-USB-PCB-Connector-Socket-USB-Jack-Plug/1840320498.html","",""
"26","3","P2, P3, P15","CONN_01X02","akl182-2","Phoenix","1844210","","",""
"27","1","P4","CONN_01X02","Pin_Header_Angled_1x02","","","","",""
"28","2","P5, P9","CONN_01X06","akl182-6","Phoenix","1844252","","",""
"29","1","P6","CONN_01X02","RM5.08_1x2","Phoenix","1757242","","",""
"30","2","P7, P12","CONN_01X04","Pin_Header_Straight_1x04","","","","",""
"31","1","P8","CONN_01X03","RM5.08_1x3","Phoenix","1757255","","",""
"32","1","P10","CONN_02X06","Socket_Strip_Angled_2x06","","","","",""
"33","1","P13","CONN_01X04","Socket_Strip_Straight_1x04","","","","",""
"34","1","P14","CONN_01X04","Pin_Header_Angled_1x04","Molex","901210764","","",""
"35","4","Q1, Q2, Q3, Q4","IRLML6344","SOT-23","Infineon","IRLML6344TRPBF","","",""
"36","14","R1, R23, R24, R25, R26, R31, R109, R110, R111, R112, R113, R114, R130, R131","120","R_0603","Yageo","RC0603JR-07120RL","","1%",""
"37","39","R2, R12, R13, R14, R15, R16, R30, R45, R61, R63, R66, R69, R72, R75, R91, R99, R101, R102, R103, R104, R105, R108, R117, R118, R119, R121, R122, R123, R124, R125, R126, R127, R128, R129, R136, R139, R145, R153, R162","1k","R_0603","Yageo","RC0603JR-071KL","","1%",""
"38","19","R3, R4, R5, R6, R8, R17, R18, R46, R76, R83, R84, R85, R93, R94, R95, R96, R100, R120, R134","470","R_0603","Yageo","RC0603JR-07470RL","","1%",""
"39","32","R7, R35, R36, R37, R38, R39, R41, R42, R43, R44, R62, R64, R65, R67, R68, R70, R71, R73, R98, R106, R115, R116, R132, R135, R137, R138, R140, R142, R155, R156, R157, R158","10k","R_0603","Yageo","RC0603JR-0710KL","","1%",""
"40","15","R9, R10, R11, R40, R86, R87, R88, R89, R147, R148, R151, R152, R154, R159, R160","22","R_0603","Yageo","RC0603JR-0722RL","","1%",""
"41","13","R19, R47, R48, R49, R50, R54, R55, R56, R57, R58, R90, R92, R107","15k","R_0603","Yageo","RC0603JR-0715KL","","1%",""
"42","12","R20, R22, R29, R34, R53, R59, R74, R79, R144, R146, R149, R161","3.9k","R_0603","Yageo","RC0603JR-073K9L","","1%",""
"43","5","R21, R60, R97, R133, R141","51k","R_0603","Yageo","RC0603JR-0751KL","","1%",""
"44","8","R27, R28, R32, R33, R51, R52, R77, R78","249k","R_1206","Yageo","RC1206FR-07249KL","","1%","200V"
"45","3","R80, R81, R82","0.003","R_2512","Bourns","CSS2H-2512K-3L00F","","1%",""
"46","2","R143, R150","1.5k","R_0603","Yageo","RC0603JR-071K5L","","1%",""
"47","5","T1, T2, T44, T45, T46","testpoint","Measurement_Point_Round-SMD-Pad_Small","","","","",""
"48","6","U1, U20, U21, U22, U23, U29","USBLC6-4SC6","SOT-23-6","STMicroelectronics","USBLC6-4SC6","","",""
"49","1","U2","zldo1117","SOT-223","Diodes Incorporated","ZLDO1117G33TA","","",""
"50","1","U3","SI8621","SOIC-8-N","Silicon Labs","Si8621BB-B-IS","","",""
"51","4","U4, U13, U27, U28","ACT4088","SOT-23-6","Active-Semi","ACT4088US","","",""
"52","1","U5","LNK304D","SOIC-7","Power Integrations","LNK304DN","","",""
"53","2","U6, U7","LM358","SOIC-8-N","Texas Instruments","LM358AD","","",""
"54","10","U8, U9, U10, U11, U14, U15, U16, U17, U18, U19","SN65176B","SOIC-8-N","Texas Instruments","SN65176B","","",""
"55","1","U12","IRAM256a","IRAM256","Infineon","IRAM256-2067A2","","",""
"56","4","U24, U30, U31, U32","non_plated","non_plated_3mm","","","","",""
"57","1","U25","STM32F303CBTx","LQFP-48_7x7mm_Pitch0.5mm","STMicroelectronics","STM32F303CBT","","",""
"58","1","U26","STM32F405VG","LQFP-100_14x14mm_Pitch0.5mm","STMicroelectronics","STM32F405VGT","","",""
"59","1","U33","heatsink","","alutronic","V PR138/94-M3","","",""
"60","1","U34","fan","","Sunon","MB45101V2-000U-A99","","","12"
"61","1","VR1","24V","R_0805","KEMET","VA0805K121R014-ND","","",""
"62","2","Y1, Y2","8M","Crystal_SMD_0503_4Pads","Abracon LLC","ABM3B-8.000MHZ-10-1UT","https://de.aliexpress.com/item/1LOT-10PCS-Crystal-8MHZ-20PF-20PPM-4P-5032-SeriesYSX531SL/32534814045.html","",""
