Ref,Val,Package,PosX,PosY,Rot,Side
C21,270µ,C_Radial_D26_L45_P10,160.500000,-135.750000,45.000000,bottom
C22,270µ,C_Radial_D26_L45_P10,133.500000,-135.750000,135.000000,bottom
G***,ESD,ESD,143.250000,-77.750000,180.000000,bottom
J1,RJ45_LED,RJ45_LED,201.000000,-92.500000,90.000000,bottom
J2,RJ45_LED,RJ45_LED,201.000000,-76.000000,90.000000,bottom
J3,RJ45_LED,RJ45_LED,201.000000,-59.500000,90.000000,bottom
JP1,Jumper_NO_Small,SOLDER_JUMPER,176.000000,-112.750000,0.000000,bottom
LOGO1,OPEN_HARDWARE_1,Symbol_OSHW-Logo_SilkScreen,107.750000,-88.750000,180.000000,bottom
LOGO1,OPEN_HARDWARE_1,Symbol_OSHW-Logo_SilkScreen,147.000000,-144.750000,180.000000,bottom
P2,CONN_01X02,akl182-2,117.000000,-146.750000,90.000000,bottom
P3,CONN_01X02,akl182-2,103.000000,-59.500000,90.000000,bottom
P4,CONN_01X02,Pin_Header_Angled_1x02,126.750000,-67.040000,0.000000,bottom
P5,CONN_01X06,akl182-6,103.000000,-82.500000,90.000000,bottom
P6,CONN_01X02,RM5.08_1x2,119.000000,-123.750000,270.000000,bottom
P7,CONN_01X04,Pin_Header_Straight_1x04,186.500000,-118.750000,270.000000,bottom
P8,CONN_01X03,RM5.08_1x3,119.000000,-106.920000,270.000000,bottom
P9,CONN_01X06,akl182-6,108.000000,-56.750000,0.000000,bottom
P10,CONN_02X06,Socket_Strip_Angled_2x06,139.000000,-61.500000,0.000000,bottom
P12,CONN_01X04,Pin_Header_Straight_1x04,178.920000,-107.250000,270.000000,bottom
P13,CONN_01X04,Socket_Strip_Straight_1x04,161.000000,-108.500000,180.000000,bottom
P15,CONN_01X02,akl182-2,131.000000,-56.750000,0.000000,bottom
REF**,Fiducial_1mm_Dia_2.54mm_Outer_CopperTop,Fiducial_1mm_Outer_CopperTop,191.250000,-137.500000,0.000000,bottom
REF**,AC,AC,118.250000,-74.750000,180.000000,bottom
